Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
Masters,Information Technology,14,3.38,56,"Web Development, Network Security",Data Science in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Blockchain,43,Female,State University,1,3.5
Masters,Information Technology,17,3.47,79,"Big Data, Web Development","Data Science in Information Technology, AI in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"IoT, Big Data",60,Male,Private University,7,4.2
Bachelors,Computer Science,2,3.3400000000000003,60,"Software Engineering, Machine Learning","AI in Computer Science, Cloud Innovations in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cybersecurity,35,Female,Community College,5,4.7
Masters,Computer Science,12,3.25,65,"Data Science, Artificial Intelligence, Software Engineering","Cloud Innovations in Computer Science, AI in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Data Science,52,Non-Binary,State University,10,4.8
PhD,Computer Science,24,3.65,87,"Artificial Intelligence, Cybersecurity","Cloud Innovations in Computer Science, Data Science in Computer Science","Artificial Intelligence, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Data Structures,71,Non-Binary,Private University,19,4.2
Masters,Information Technology,19,3.88,88,"Big Data, Blockchain, Database Systems","Cybersecurity Trends in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology","IoT, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Blockchain,57,Male,Open University,0,4.9
Masters,Computer Science,8,3.83,56,"Algorithms, Cybersecurity, Artificial Intelligence, Software Engineering",Cybersecurity Trends in Computer Science,Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Software Engineering, Machine Learning",50,Non-Binary,Private University,12,3.9
PhD,Information Technology,25,3.5700000000000003,72,"IT Project Management, Network Security, Web Development, IoT","Cybersecurity Trends in Information Technology, AI in Information Technology","Cloud Computing, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Blockchain, Web Development",73,Female,Private University,22,3.7
Masters,Computer Science,13,3.7199999999999998,90,"Machine Learning, Data Structures, Data Science",Cloud Innovations in Computer Science,"Algorithms, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Software Engineering,48,Non-Binary,Open University,5,3.8
Bachelors,Information Technology,1,3.52,58,"IT Project Management, Cloud Computing, IoT, Web Development","AI in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cloud Computing,34,Male,State University,5,4.5
Bachelors,Computer Science,2,3.7600000000000002,62,"Cybersecurity, Data Structures, Machine Learning","Cloud Innovations in Computer Science, AI in Computer Science, Data Science in Computer Science","Operating Systems, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Data Science, Cybersecurity",26,Female,Private University,5,4.7
Masters,Information Technology,17,3.29,65,"Network Security, Blockchain, IT Project Management, Database Systems","Cloud Innovations in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Cloud Computing,49,Female,State University,14,3.3
Masters,Computer Science,9,3.22,68,"Software Engineering, Artificial Intelligence, Data Science","Cybersecurity Trends in Computer Science, AI in Computer Science, Data Science in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,Cybersecurity,54,Female,Open University,10,4.6
PhD,Computer Science,26,3.2399999999999998,61,"Data Structures, Machine Learning, Algorithms, Artificial Intelligence","AI in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science","Machine Learning, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Data Science, Data Structures",70,Female,State University,12,3.8
PhD,Computer Science,14,3.6900000000000004,78,"Artificial Intelligence, Machine Learning","Cybersecurity Trends in Computer Science, AI in Computer Science","Software Engineering, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Artificial Intelligence,49,Female,Community College,10,4.2
PhD,Information Technology,20,4.0,80,"Network Security, Database Systems","AI in Information Technology, Cloud Innovations in Information Technology","Cloud Computing, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"Network Security, Blockchain",61,Non-Binary,State University,9,4.4
Masters,Information Technology,18,3.97,100,"IT Project Management, Database Systems","Data Science in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Web Development, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,Network Security,61,Female,Open University,9,3.2
PhD,Information Technology,26,3.6100000000000003,68,"Database Systems, Network Security, IT Project Management, Cloud Computing","Cloud Innovations in Information Technology, AI in Information Technology, Data Science in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Network Security, IT Project Management",77,Female,Community College,25,4.3
PhD,Information Technology,19,3.58,75,"Big Data, Web Development, IoT, IT Project Management","AI in Information Technology, Cybersecurity Trends in Information Technology","IT Project Management, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Network Security, Cloud Computing",59,Non-Binary,Private University,19,4.6
PhD,Information Technology,12,3.94,71,"IoT, Blockchain, Network Security, Database Systems","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology","Network Security, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Web Development, Cloud Computing",50,Non-Binary,Community College,10,4.3
Masters,Computer Science,16,3.71,62,"Cybersecurity, Operating Systems, Data Structures",Data Science in Computer Science,Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Operating Systems,58,Female,Private University,5,3.4
Bachelors,Computer Science,9,4.0,70,"Operating Systems, Machine Learning, Data Science, Software Engineering",Data Science in Computer Science,"Data Structures, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Machine Learning,32,Male,Community College,4,3.2
Masters,Information Technology,8,3.8200000000000003,83,"Blockchain, Database Systems",Data Science in Information Technology,IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Big Data, Cloud Computing",50,Non-Binary,State University,7,4.1
Masters,Computer Science,12,3.37,63,"Machine Learning, Artificial Intelligence, Data Structures","AI in Computer Science, Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Data Structures,46,Male,State University,1,3.5
PhD,Computer Science,28,3.54,71,"Data Science, Artificial Intelligence","Data Science in Computer Science, AI in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"Cybersecurity, Data Science",84,Male,Community College,30,3.6
Bachelors,Computer Science,5,3.95,100,"Operating Systems, Artificial Intelligence, Software Engineering","Cloud Innovations in Computer Science, AI in Computer Science","Operating Systems, Cybersecurity","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Artificial Intelligence, Data Science",34,Female,Open University,0,4.9
Masters,Information Technology,8,3.56,86,"Blockchain, Big Data, Web Development",Cybersecurity Trends in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"IT Project Management, Network Security",47,Non-Binary,Community College,9,3.2
PhD,Information Technology,22,4.0,94,"Web Development, Big Data, Cloud Computing","AI in Information Technology, Data Science in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,Web Development,71,Female,Community College,6,3.7
Bachelors,Information Technology,4,3.38,80,"IoT, Cloud Computing","Cloud Innovations in Information Technology, AI in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Network Security, Database Systems",31,Male,Private University,2,4.8
Bachelors,Information Technology,9,3.5100000000000002,58,"Big Data, Blockchain, Network Security, Database Systems",Cloud Innovations in Information Technology,"Web Development, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,IoT,37,Non-Binary,State University,5,3.1
PhD,Computer Science,24,3.54,54,"Cybersecurity, Software Engineering, Data Science",Cloud Innovations in Computer Science,"Algorithms, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Cybersecurity, Data Structures",74,Non-Binary,Private University,10,3.3
Masters,Computer Science,17,3.79,62,"Operating Systems, Cybersecurity, Data Structures","Cloud Innovations in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Algorithms, Artificial Intelligence",57,Non-Binary,Open University,3,4.6
Masters,Information Technology,20,3.9800000000000004,99,"Web Development, Big Data, Blockchain, Database Systems","AI in Information Technology, Cybersecurity Trends in Information Technology","IoT, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"IT Project Management, Database Systems",65,Non-Binary,Open University,14,4.3
Masters,Information Technology,16,3.77,52,"Big Data, Web Development, Network Security","AI in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cloud Computing,48,Female,Open University,8,4.3
PhD,Information Technology,23,3.79,79,"Blockchain, IoT, Web Development, Cloud Computing",AI in Information Technology,"Database Systems, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Network Security,60,Female,Community College,18,4.7
Bachelors,Computer Science,6,4.0,80,"Machine Learning, Software Engineering, Algorithms, Data Science","Cybersecurity Trends in Computer Science, AI in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Machine Learning,32,Non-Binary,Private University,1,4.5
Bachelors,Information Technology,10,3.15,100,"Cloud Computing, Database Systems, Web Development","Data Science in Information Technology, Cloud Innovations in Information Technology","Network Security, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,IT Project Management,43,Male,Private University,2,3.2
PhD,Information Technology,14,3.98,55,"Cloud Computing, Big Data, Network Security, Database Systems",Data Science in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,Big Data,67,Female,Private University,25,4.4
Masters,Information Technology,19,4.0,72,"Database Systems, IT Project Management, IoT",Cybersecurity Trends in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"IT Project Management, Web Development",51,Non-Binary,State University,8,3.6
Masters,Computer Science,19,4.0,69,"Artificial Intelligence, Data Structures",Cloud Innovations in Computer Science,"Machine Learning, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Data Science,49,Female,Community College,4,4.1
PhD,Information Technology,20,3.9499999999999997,80,"Web Development, Big Data","Data Science in Information Technology, Cloud Innovations in Information Technology","Database Systems, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,IoT,68,Female,Community College,14,3.8
Bachelors,Information Technology,5,4.0,72,"IT Project Management, Blockchain, Database Systems","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,"Network Security, IoT",30,Male,Community College,1,3.4
PhD,Computer Science,17,3.51,82,"Cybersecurity, Data Science, Operating Systems, Software Engineering","Data Science in Computer Science, Cybersecurity Trends in Computer Science","Software Engineering, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,"Data Structures, Machine Learning",72,Non-Binary,State University,14,4.5
PhD,Information Technology,26,3.51,74,"Cloud Computing, Web Development, Blockchain, IT Project Management",Cybersecurity Trends in Information Technology,"IT Project Management, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Blockchain,67,Male,Community College,12,4.0
PhD,Computer Science,16,4.0,95,"Cybersecurity, Data Structures",Cloud Innovations in Computer Science,Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Data Science, Cybersecurity",68,Male,State University,26,4.8
Masters,Information Technology,11,3.24,70,"Network Security, Cloud Computing, Big Data, IT Project Management",AI in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Web Development, IT Project Management",42,Male,Open University,8,3.6
Bachelors,Computer Science,3,3.81,58,"Cybersecurity, Machine Learning, Data Science",AI in Computer Science,Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Algorithms, Machine Learning",25,Non-Binary,Open University,1,3.2
Bachelors,Computer Science,3,3.72,85,"Machine Learning, Artificial Intelligence, Cybersecurity, Software Engineering","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Science, Operating Systems",36,Female,Open University,3,3.6
Bachelors,Information Technology,2,3.32,54,"Cloud Computing, Web Development, Big Data","AI in Information Technology, Data Science in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Big Data, Web Development",29,Female,Open University,2,4.5
Masters,Information Technology,20,4.0,71,"Network Security, Cloud Computing, Blockchain","Data Science in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Network Security, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,IT Project Management,45,Male,Community College,12,4.5
PhD,Information Technology,12,3.94,82,"Network Security, Big Data, Cloud Computing",AI in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Network Security,67,Male,Community College,9,4.9
Masters,Computer Science,15,3.58,96,"Machine Learning, Artificial Intelligence, Algorithms, Data Structures",Cybersecurity Trends in Computer Science,"Operating Systems, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Cybersecurity,53,Non-Binary,Private University,3,3.2
PhD,Computer Science,18,4.0,99,"Operating Systems, Artificial Intelligence, Software Engineering, Data Structures","Data Science in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science","Software Engineering, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Operating Systems, Data Structures",54,Female,State University,11,3.9
PhD,Computer Science,28,3.99,75,"Software Engineering, Data Science","Data Science in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Machine Learning, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Artificial Intelligence,77,Female,Open University,7,4.1
PhD,Information Technology,21,3.89,58,"Database Systems, Big Data, IT Project Management, Cloud Computing","Cloud Innovations in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Blockchain, IoT",79,Male,Private University,22,4.8
PhD,Information Technology,13,3.52,81,"Cloud Computing, Big Data, IT Project Management, Web Development","Data Science in Information Technology, Cloud Innovations in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Network Security, IT Project Management",72,Non-Binary,State University,25,4.4
Masters,Computer Science,6,4.0,74,"Data Science, Data Structures",Data Science in Computer Science,Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Machine Learning,34,Female,State University,7,3.6
PhD,Information Technology,12,3.37,63,"Database Systems, Network Security, IoT","AI in Information Technology, Cloud Innovations in Information Technology, Data Science in Information Technology","Cloud Computing, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"IoT, Cloud Computing",69,Female,Private University,12,4.2
Masters,Information Technology,16,3.67,60,"Blockchain, Big Data, IoT",Cybersecurity Trends in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cloud Computing,57,Female,State University,13,4.3
PhD,Computer Science,10,4.0,52,"Algorithms, Machine Learning, Cybersecurity, Software Engineering","AI in Computer Science, Data Science in Computer Science","Artificial Intelligence, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,Data Structures,54,Male,Community College,26,4.1
Bachelors,Information Technology,2,4.0,89,"Network Security, IoT, Cloud Computing","AI in Information Technology, Data Science in Information Technology","Network Security, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Blockchain,31,Male,Open University,2,3.6
Bachelors,Information Technology,6,3.46,76,"Big Data, Web Development","Data Science in Information Technology, Cybersecurity Trends in Information Technology",Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Web Development, IT Project Management",38,Female,Community College,0,4.4
Masters,Information Technology,6,3.23,55,"IoT, Blockchain, Network Security, IT Project Management","AI in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology","Blockchain, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,IoT,38,Female,Private University,0,3.4
PhD,Computer Science,26,3.41,66,"Artificial Intelligence, Data Science, Data Structures, Software Engineering","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,Cybersecurity,70,Female,Private University,7,3.0
PhD,Information Technology,21,3.96,88,"IoT, Database Systems, Cloud Computing","AI in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Network Security,61,Non-Binary,Private University,25,4.5
Masters,Computer Science,17,2.69,54,"Algorithms, Data Structures","AI in Computer Science, Cloud Innovations in Computer Science, Data Science in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Machine Learning, Data Science",55,Female,Private University,10,4.7
Bachelors,Information Technology,5,3.4400000000000004,76,"Network Security, Database Systems, Web Development","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology, AI in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Blockchain,36,Male,Community College,5,4.5
Masters,Computer Science,17,3.6100000000000003,72,"Algorithms, Software Engineering, Data Science, Machine Learning","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Data Structures, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Machine Learning,53,Male,Private University,6,3.7
Masters,Computer Science,17,3.47,95,"Data Structures, Operating Systems, Artificial Intelligence",Cybersecurity Trends in Computer Science,Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Operating Systems, Data Science",48,Female,Community College,3,3.5
Bachelors,Computer Science,10,3.51,78,"Data Structures, Algorithms","Cloud Innovations in Computer Science, Data Science in Computer Science, AI in Computer Science",Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Data Science, Algorithms",42,Female,Community College,3,3.8
Bachelors,Computer Science,9,4.0,66,"Cybersecurity, Data Science","AI in Computer Science, Cloud Innovations in Computer Science, Data Science in Computer Science","Cybersecurity, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Operating Systems,36,Female,Community College,2,4.0
Bachelors,Computer Science,1,3.59,65,"Cybersecurity, Machine Learning, Data Science, Software Engineering","Cloud Innovations in Computer Science, Data Science in Computer Science","Data Structures, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Data Science, Machine Learning",27,Female,State University,1,4.2
PhD,Information Technology,20,4.0,80,"Network Security, Blockchain, IoT, Database Systems",Data Science in Information Technology,"Blockchain, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Cloud Computing, IT Project Management",62,Male,Community College,19,3.8
Bachelors,Information Technology,5,3.7600000000000002,77,"Database Systems, Cloud Computing, IoT, Web Development","AI in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology","Network Security, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Network Security, IoT",36,Male,State University,1,3.7
Masters,Information Technology,9,3.23,96,"Database Systems, Blockchain, IT Project Management, Network Security","Data Science in Information Technology, Cloud Innovations in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,Network Security,36,Male,Private University,11,4.1
Masters,Information Technology,20,4.0,90,"Big Data, Blockchain, Database Systems",Data Science in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,Big Data,58,Female,State University,15,4.6
PhD,Computer Science,20,3.7,76,"Operating Systems, Artificial Intelligence, Machine Learning, Data Science","Cybersecurity Trends in Computer Science, AI in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Machine Learning, Algorithms",75,Non-Binary,Community College,30,3.4
Bachelors,Information Technology,1,3.39,71,"IoT, Database Systems, Big Data","Data Science in Information Technology, Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Cloud Computing, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Network Security,30,Female,State University,0,4.4
Masters,Computer Science,15,4.0,96,"Artificial Intelligence, Data Structures, Software Engineering, Operating Systems",Cybersecurity Trends in Computer Science,"Operating Systems, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Artificial Intelligence",44,Female,State University,2,3.7
PhD,Information Technology,20,3.45,64,"Blockchain, IT Project Management, IoT","Data Science in Information Technology, Cloud Innovations in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Cloud Computing,66,Male,Private University,17,4.0
Bachelors,Computer Science,5,3.82,51,"Software Engineering, Cybersecurity, Operating Systems, Data Science","Cloud Innovations in Computer Science, AI in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,"Algorithms, Cybersecurity",29,Female,Private University,3,3.5
PhD,Information Technology,20,3.4,73,"Web Development, IoT, Database Systems, Blockchain",Cybersecurity Trends in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Big Data, Database Systems",79,Non-Binary,Open University,16,3.8
PhD,Information Technology,24,3.38,77,"Web Development, IoT, Blockchain",Cybersecurity Trends in Information Technology,"Web Development, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Network Security, IoT",74,Female,State University,5,4.5
Bachelors,Information Technology,7,4.0,74,"Network Security, IoT, Blockchain",AI in Information Technology,"Cloud Computing, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Web Development, IT Project Management",30,Non-Binary,Community College,3,4.4
